Nom,asin,status,mustHave,priority,audience,age min,age max,tags,Pays
"chaussures randonnée prix 3 - Antidérapantes, Respirantes femme",B06VXVRR8R,candidate,FALSE,3,femme,0,120,"chaussures,randonnée,antidérapantes,respirantes,genericbrand,sacs,sport,trekking,outdoor",THAILANDE
Chaussure rando enfant mixte,B0CB4CM4BV,candidate,FALSE,3,mixte,0,120,"chaussure,rando,enfant,mixte,genericbrand,chaussures,sacs,sport",THAILANDE
Claquettes mixte,B0CB9DJJVW,candidate,FALSE,3,mixte,0,120,"claquettes,mixte,genericbrand,sports,loisirs,accessoires",THAILANDE
Claquettes enfant,B0BDYN7ZQH,candidate,FALSE,3,enfant,3,17,"claquettes,enfant,genericbrand,sports,loisirs,accessoires",THAILANDE
Lunettes de soleil UV400 mixte,B0CQYRTFGS,candidate,FALSE,3,mixte,0,120,"lunettes,soleil,mixte,genericbrand,sports,loisirs,accessoires,uv400,protection-solaire",THAILANDE
Crème solaire SPF 50+,B08BTD7RFV,candidate,FALSE,3,all,0,120,"crème,solaire,spf,genericbrand,sports,loisirs,accessoires,protection-solaire,soleil,protection",THAILANDE
Baume à lèvres hydratant,B006DUPURO,candidate,FALSE,3,all,0,120,"baume,lèvres,hydratant,genericbrand,sports,loisirs,accessoires,soin,peau",THAILANDE
Spray anti-moustique,B088RTJXHS,candidate,FALSE,3,all,0,120,"spray,anti,moustique,genericbrand,sports,loisirs,accessoires,anti-moustique,répulsif,insectes",THAILANDE
Adaptateur de prise universel,B0B2DRC76L,candidate,FALSE,3,all,0,120,"adaptateur,prise,universel,genericbrand,sports,loisirs,accessoires",THAILANDE
"Lampe frontale - LED, Rechargeable USB",B01DNDMSLY,candidate,FALSE,3,all,0,120,"lampe,frontale,led,rechargeable,usb,genericbrand,sports,loisirs,accessoires,éclairage,camping",THAILANDE
Gourdes isothermes,B01MY09LEL,candidate,FALSE,3,all,0,120,"gourdes,isothermes,genericbrand,sports,loisirs,accessoires,isotherme,température",THAILANDE
"Sac a dos randonnée - Résistant à l'eau, Léger",B07T9P5Q23,candidate,FALSE,3,all,0,120,"sac,dos,randonnée,résistant,eau,léger,genericbrand,bagages,sacs,trekking,outdoor",THAILANDE
Mini ventilateur portatif,B0BRV61DPY,candidate,FALSE,3,all,0,120,"mini,ventilateur,portatif,genericbrand,sports,loisirs,accessoires",THAILANDE
brumisateur,B0C7QV2M6D,candidate,FALSE,3,all,0,120,"brumisateur,genericbrand,sports,loisirs,accessoires",THAILANDE
MAROC t-shirts (coton / technique respirant) homme,B079NLHSV8,candidate,FALSE,3,homme,0,120,"shirts,coton,technique,respirant,homme,genericbrand,sports,loisirs,accessoires",MAROC
Thermomètre digital,B0BTHB8GWJ,candidate,FALSE,3,all,0,120,"thermomètre,digital,genericbrand,sports,loisirs,accessoires",MAROC
Batterie externe,NONE,candidate,FALSE,3,all,0,120,"batterie,externe,genericbrand,sports,loisirs,accessoires",MAROC
BRESIL t-shirts (coton / technique respirant) homme,B079NLHSV8,candidate,FALSE,3,homme,0,120,"shirts,coton,technique,respirant,homme,genericbrand,sports,loisirs,accessoires",MAROC
STATES t-shirts (coton / technique respirant) homme,B079NLHSV8,candidate,FALSE,3,homme,0,120,"shirts,coton,technique,respirant,homme,genericbrand,sports,loisirs,accessoires",MAROC
