label,asin,status,mustHave,priority,audience,countryCodes,ageMin,ageMax,tags
T-shirts (coton / technique respirant) homme ; https,,active,no,medium,travel,US,8,99,"breathable,states,tshirt"
T-shirts (coton / technique respirant) femme ; https,,active,no,medium,travel,US,8,99,"breathable,states,tshirt"
Coupe vent légers mixte ; https,,active,no,medium,travel,US,8,99,"lightweight,states,windbreaker"
Serviette microfibre ; https,,active,no,medium,travel,US,8,99,"microfiber,states,towel"
Chaussures randonnée prix 1; https,,active,no,medium,travel,US,8,99,"hiking,shoes,states"
Chaussures randonnée prix 2; https,,active,no,medium,travel,US,8,99,"hiking,shoes,states"
Chaussures randonnée prix 3; https,,active,no,medium,travel,US,8,99,"hiking,shoes,states"
Chaussure rando enfant mixte,,active,no,medium,travel,US,8,99,states
Claquettes mixte,,active,no,medium,travel,US,8,99,"sandals,slides,states"
Claquettes enfant,,active,no,medium,travel,US,8,99,"sandals,slides,states"
Lunettes de soleil UV400 mixte ; https,,active,no,medium,travel,US,8,99,"states,sunglasses,uv"
Crème solaire SPF 50+,,active,no,medium,travel,US,8,99,"spf50,states,sunscreen"
Baume à lèvres hydratant,,active,no,medium,travel,US,8,99,"lip-balm,states"
Spray anti-moustique,,active,no,medium,travel,US,8,99,"insect-repellent,states"
Adaptateur de prise universel,,active,no,medium,travel,US,8,99,"adapter,power,states"
Lampe frontale,,active,no,medium,travel,US,8,99,"headlamp,states"
Gourdes isothermes,,active,no,medium,travel,US,8,99,"bottle,insulated,states"
Sac a dos randonnée,,active,no,medium,travel,US,8,99,"backpack,hiking,states,waterproof"
Mini ventilateur portatif,,active,no,medium,travel,US,8,99,"fan,portable,states"
